SEGMENT,RESTAURANT_COUNT
28401867_W_2,0.0
28401827_S_2,0.0
28401867_E_2,0.0
28401866_S_2,0.0
28401819_SW_2,0.0
28401820_S_2,0.0
28401821_N_2,0.0
28401819_NE_2,0.0
28401820_N_2,0.0
28401825_N_2,0.0
28401824_W_2,0.0
28401826_S_2,0.0
28401827_N_2,0.0
28401824_E_2,0.0
28401822_W_2,0.0
28401823_S_2,0.0
28401866_N_2,0.0
28401821_S_2,0.0
28401822_E_2,0.0
28401823_N_2,0.0
28401826_N_2,0.0
28401834_NE_2,0.0
28401841_SE_2,0.0
28401860_SW_2,0.0
28401834_SW_2,0.0
28401835_NE_2,0.0
28401862_E_2,0.0
28401844_E_2,0.0
28401843_S_2,0.0
28401842_W_2,0.0
28401844_W_2,0.0
28401846_E_2,0.0
28401845_S_2,0.0
28401846_W_2,0.0
28401848_E_2,0.0
28401847_S_2,0.0
28401848_W_2,0.0
28401851_E_2,0.0
28401850_S_2,0.0
28401851_W_2,0.0
28401865_E_2,0.0
28401853_S_2,0.0
28401865_W_2,0.0
28401863_S_2,0.0
28401863_N_2,0.0
28401864_W_2,0.0
28401853_N_2,0.0
28401864_E_2,0.0
28401852_W_2,0.0
28401847_N_2,0.0
28401838_SW_2,0.0
28401849_E_2,0.0
28401845_N_2,0.0
28401838_NE_2,0.0
28401839_W_2,0.0
28401843_N_2,0.0
28401839_E_2,0.0
28401840_W_2,0.0
28401835_SW_2,0.0
28401842_E_2,0.0
28401861_S_2,0.0
28401862_W_2,0.0
28401861_N_2,0.0
28401856_S_2,0.0
28401841_NW_2,0.0
28401840_E_2,0.0
28401856_N_2,0.0
28401850_N_2,0.0
28401852_E_2,0.0
28401849_W_2,0.0
1067545236_SW_2,0.0
28401953_E_2,0.0
28401953_W_2,0.0
28401954_N_2,0.0
28402554_N_2,0.0
28402555_W_2,0.0
28402553_E_2,0.0
28402561_SE_2,0.0
28402560_NE_2,0.0
28402559_NW_2,0.0
28402554_S_2,0.0
28402561_NW_2,0.0
28402562_NE_2,0.0
28402555_E_2,0.0
28402558_NW_2,0.0
28402556_W_2,0.0
28402558_SE_2,0.0
28402563_SW_2,0.0
28402557_NW_2,0.0
28402560_SW_2,0.0
28402562_SW_2,0.0
28402563_NE_2,0.0
28402572_E_2,0.0
105632150_N_2,0.0
755692058_SE_2,0.0
1217288491_E_2,0.0
105632150_S_2,0.0
977172602_W_2,0.0
28402601_SE_2,0.0
28402598_W_2,0.0
127820709_E_2,0.0
28402601_NW_2,0.0
28402600_E_2,0.0
28402602_E_2,0.0
28402600_W_2,0.0
28402603_NW_2,0.0
28402602_W_2,0.0
28402603_SE_2,0.0
1005084507_N_2,0.0
28493084_S_2,0.0
1215858038_W_2,0.0
28404190_N_2,0.0
28404191_SW_2,0.0
28404196_SE_2,0.0
28404191_NE_2,0.0
28404192_W_2,0.0
28404198_SW_2,0.0
28404192_E_2,0.0
28404193_W_2,0.0
28404197_N_2,0.0
28404193_E_2,0.0
28404200_S_2,0.0
970784412_W_2,0.0
28404195_W_2,0.0
28404206_S_2,0.0
970784413_E_2,0.0
28404195_E_2,0.0
28404196_NW_2,0.0
28404197_S_2,0.0
28404198_NE_2,0.0
28404199_W_2,0.0
28404202_NW_2,0.0
28404199_E_2,0.0
28404200_N_2,0.0
28404203_W_2,0.0
28404201_SE_2,0.0
28404203_E_2,0.0
28404202_SE_2,0.0
28404201_NW_2,0.0
28404204_E_2,0.0
28404205_SW_2,0.0
28404204_W_2,0.0
28404205_NE_2,0.0
28404206_N_2,0.0
28404207_S_2,0.0
28404209_E_2,0.0
28404210_W_2,0.0
28404207_N_2,0.0
28404208_S_2,0.0
28404211_E_2,0.0
28404212_W_2,0.0
28404208_N_2,0.0
28404213_S_2,0.0
28404214_W_2,0.0
28404209_W_2,0.0
970784415_P_2,0.0
28404210_E_2,0.0
28404211_W_2,0.0
970784418_P_2,0.0
28404212_E_2,0.0
28404213_N_2,0.0
1215857783_W_2,0.0
28404214_E_2,0.0
28405891_S_2,0.0
24608993_E_2,0.0
28405892_NW_2,0.0
28409040_SE_2,6.0
127840416_SE_2,0.0
829519658_NW_2,0.0
1216621113_SW_2,0.0
127840929_S_2,0.0
812281620_N_2,0.0
927391542_NW_2,0.0
28409051_SE_2,0.0
37847283_NW_2,0.0
28409061_E_2,0.0
979698221_E_2,0.0
835857314_E_2,0.0
812281604_W_2,2.0
1131102670_E_2,0.0
28409070_W_2,0.0
971931773_SW_2,0.0
971936548_NE_2,0.0
929837096_SW_2,0.0
971936534_NW_2,0.0
1216879479_S_2,0.0
971936536_N_2,0.0
976999561_NW_2,0.0
28409088_NW_2,0.0
976999534_NW_2,0.0
976999566_SE_2,0.0
127826399_NW_2,0.0
1216359287_NW_2,0.0
976999550_W_2,0.0
1227153771_W_2,0.0
829504639_W_2,0.0
962501463_W_2,0.0
127826406_N_2,0.0
976827968_E_2,0.0
28411502_NW_2,0.0
28411503_SE_2,0.0
976999067_SE_2,0.0
976999053_S_2,0.0
28411510_NW_2,0.0
28411511_SE_2,0.0
28411513_SE_2,0.0
28411518_SE_2,0.0
28411515_S_2,0.0
28411522_SE_2,0.0
976871888_N_2,0.0
976871883_S_2,0.0
28411533_S_2,0.0
28411535_N_2,0.0
1067500228_S_2,0.0
1216621137_N_2,0.0
976871870_N_2,0.0
976871885_S_2,0.0
829637020_NW_2,0.0
929274046_S_2,0.0
28411554_S_2,0.0
28411556_S_2,0.0
977086578_SE_2,0.0
1216202352_N_2,0.0
1217007490_W_2,0.0
977147246_N_2,0.0
120895840_S_2,0.0
28411576_N_2,0.0
28411578_S_2,0.0
835840868_W_2,0.0
1049764045_SE_2,0.0
812222123_NW_2,0.0
1049764040_NW_2,0.0
833170889_SE_2,0.0
127840979_NW_2,0.0
127840976_E_2,0.0
812243286_S_2,0.0
1067677854_S_2,0.0
127840806_N_2,0.0
127840804_S_2,0.0
821488153_N_2,0.0
773096865_SE_2,0.0
812222138_SE_2,0.0
127840981_SE_2,1.0
833170882_NW_2,0.0
812583309_SE_2,0.0
875075429_NW_2,0.0
812584394_SE_2,0.0
977231928_NW_2,0.0
887872897_NW_2,0.0
887902561_NW_2,0.0
812293881_SE_2,0.0
120896349_SE_2,0.0
28411655_SE_2,0.0
28411660_NW_2,0.0
28411664_NW_2,0.0
28411667_E_2,0.0
821488158_SE_2,0.0
914998866_SE_2,0.0
28411675_SE_2,0.0
28411678_NW_2,0.0
927481341_NW_2,0.0
915009634_NW_2,0.0
717430822_SE_2,0.0
28411939_SW_2,0.0
120893393_NE_2,0.0
1152465572_NE_2,0.0
781831662_SW_2,0.0
28411949_SW_2,0.0
1216987160_NE_2,0.0
812236126_NW_2,0.0
28411956_SE_2,0.0
28411959_NW_2,0.0
28411961_NW_2,0.0
28411962_SE_2,0.0
781893798_NW_2,0.0
28411967_SE_2,0.0
28411970_S_2,0.0
28411972_E_2,0.0
812291451_S_2,0.0
28411976_N_2,0.0
28411977_S_2,0.0
821488560_N_2,0.0
28411982_W_2,0.0
834218675_SE_2,0.0
1123013005_N_2,0.0
28411998_N_2,0.0
971185977_E_2,0.0
834059120_S_2,0.0
28412066_SW_2,0.0
812383714_SW_2,0.0
28412073_NE_2,0.0
28412075_E_2,0.0
24453455_SW_2,0.0
975172671_NE_2,0.0
975172674_SW_2,0.0
28412085_W_2,0.0
28412088_E_2,0.0
37827807_W_2,0.0
28412091_W_2,0.0
28412093_W_2,0.0
1152469982_E_2,0.0
1195797765_E_2,0.0
836923140_W_2,0.0
971568693_W_2,0.0
28412109_E_2,0.0
28412111_W_2,0.0
28412113_E_2,0.0
28412126_NE_2,0.0
948031652_SW_2,0.0
1071067889_NE_2,0.0
1061856959_SW_2,0.0
1185334456_SW_2,0.0
927391554_N_2,0.0
814601119_NE_2,0.0
821318289_SE_2,0.0
936872687_W_2,0.0
974821114_N_2,0.0
812384580_S_2,0.0
28412312_N_2,0.0
28412313_S_2,0.0
28412318_NE_2,0.0
976858574_NE_2,0.0
929854738_S_2,0.0
120893580_SW_2,0.0
28412332_N_2,0.0
821318075_S_2,0.0
976774874_NW_2,0.0
28412367_SW_2,0.0
127826405_SE_2,0.0
971936546_NE_2,0.0
1074382073_NW_2,0.0
781913589_S_2,0.0
927391544_NE_2,1.0
28412399_N_2,0.0
28412406_S_2,0.0
812272796_SE_2,0.0
972468123_NW_2,0.0
812236113_NW_2,0.0
28412482_SW_2,2.0
127826408_S_2,0.0
929883627_SW_2,0.0
28412488_SW_2,1.0
28412492_SW_2,0.0
28412500_NE_2,0.0
28412531_NW_2,1.0
973181761_E_2,0.0
814543317_N_2,0.0
28412557_SW_2,0.0
28412548_NE_2,0.0
28412564_NE_2,0.0
875087814_W_2,0.0
